Neighbourhood,Neighbourhood Latitude,Neighbourhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category,
192,Goose Hollow,45.517749,-122.692819,Kenny & Zuke's Delicatessen,45.522205,-122.681983,Sandwich Place
193,Goose Hollow,45.517749,-122.692819,Bartini,45.526211,-122.694766,Cocktail Bar
194,Goose Hollow,45.517749,-122.692819,Park Avenue Fine Wines,45.519753,-122.680539,Wine Shop
195,Goose Hollow,45.517749,-122.692819,the Nines Hotel,45.518664,-122.678201,Hotel
196,Goose Hollow,45.517749,-122.692819,Yoga Pearl,45.524354,-122.680763,Yoga Studio
197,Goose Hollow,45.517749,-122.692819,Salt & Straw,45.528929,-122.698298,Ice Cream Shop
198,Goose Hollow,45.517749,-122.692819,Veggie Grill,45.517239,-122.678245,Vegetarian / Vegan Restaurant
199,Goose Hollow,45.517749,-122.692819,Fogo de Chão,45.517121,-122.679346,Brazilian Restaurant
200,Goose Hollow,45.517749,-122.692819,Bailey's Taproom,45.52256,-122.678065,Pub
201,Goose Hollow,45.517749,-122.692819,Papa Haydn,45.527747,-122.698623,Dessert Shop
202,Goose Hollow,45.517749,-122.692819,MUJI,45.518985,-122.677654,Department Store
203,Goose Hollow,45.517749,-122.692819,Little Bird Bistro,45.522127,-122.676942,French Restaurant
204,Goose Hollow,45.517749,-122.692819,Powell's Books Green Room,45.523285,-122.681358,Bookstore
205,Goose Hollow,45.517749,-122.692819,The Duniway,45.517798,-122.679072,Hotel
206,Goose Hollow,45.517749,-122.692819,Powell's Books Rare Book Room,45.523552,-122.681755,Bookstore
207,Goose Hollow,45.517749,-122.692819,Tea Chai Té,45.528192,-122.698443,Tea Room
208,Goose Hollow,45.517749,-122.692819,Wildfang,45.521875,-122.680945,Women's Store
209,Hillside,45.527439,-122.71312,Forest Park - Wildwood Trail,45.527233,-122.717003,Trail
210,Hillside,45.527439,-122.71312,Pittock Mansion,45.525262,-122.716684,Museum
211,Hillside,45.527439,-122.71312,Lower MacLeay Park,45.535837,-122.712386,Park
212,Hillside,45.527439,-122.71312,Portland Japanese Garden,45.519457,-122.706937,Garden
213,Hillside,45.527439,-122.71312,Salt & Straw,45.528929,-122.698298,Ice Cream Shop
214,Hillside,45.527439,-122.71312,Hoyt Arboretum,45.517493,-122.717714,Park
215,Hillside,45.527439,-122.71312,International Rose Test Garden,45.519075,-122.705616,Botanical Garden
216,Hillside,45.527439,-122.71312,Washington Park,45.517835,-122.705784,Park
217,Hillside,45.527439,-122.71312,Bibi2Go,45.530094,-122.698656,Korean Restaurant
218,Hillside,45.527439,-122.71312,The Clearing Café,45.535282,-122.708282,Café
219,Hillside,45.527439,-122.71312,Papa Haydn,45.527747,-122.698623,Dessert Shop
220,Hillside,45.527439,-122.71312,Tea Chai Té,45.528192,-122.698443,Tea Room
221,Hillside,45.527439,-122.71312,Wallace Park,45.533229,-122.70381,Park
222,Hillside,45.527439,-122.71312,Bamboo Sushi NW,45.528981,-122.698494,Sushi Restaurant
223,Hillside,45.527439,-122.71312,The Meadow - NW 23rd Ave.,45.528545,-122.698671,Gourmet Shop
224,Hillside,45.527439,-122.71312,Zupan's Market,45.523246,-122.698888,Grocery Store
225,Hillside,45.527439,-122.71312,Moonstruck Chocolate Company,45.526566,-122.698394,Candy Store
226,Hillside,45.527439,-122.71312,Warby Parker,45.528684,-122.698657,Optical Shop
227,Hillside,45.527439,-122.71312,Barista,45.528795,-122.698601,Coffee Shop
228,Hillside,45.527439,-122.71312,Elephants Delicatessen,45.523832,-122.696549,Deli / Bodega
229,Hillside,45.527439,-122.71312,Little Big Burger,45.529434,-122.698533,Burger Joint
230,Hillside,45.527439,-122.71312,LUSH,45.52782,-122.698454,Cosmetics Shop
231,Hillside,45.527439,-122.71312,Blue Star Donuts,45.529533,-122.69868,Donut Shop
232,Hillside,45.527439,-122.71312,St. Honoré Boulangerie,45.535574,-122.699682,Café
233,Hillside,45.527439,-122.71312,ATAULA,45.535753,-122.699709,Tapas Restaurant
234,Hillside,45.527439,-122.71312,Shakespeare Garden,45.518558,-122.704685,Garden
235,Hillside,45.527439,-122.71312,Moberi,45.534975,-122.698779,Food Truck
236,Hillside,45.527439,-122.71312,The Fireside,45.52849,-122.698861,American Restaurant
237,Hillside,45.527439,-122.71312,Breakside Brewery,45.533924,-122.696465,Brewery
